WARNING: $PATH does not agree with $PATH_modshare counter. The following directories' usage counters were adjusted to match. Note that this may mean that module unloading may not work correctly.
 /opt/slurm/bin /hpc/eb/compilerwrappers/linkers /sw/arch/Debian10/EB_production/2020/software/Miniconda3/4.7.12.1 /opt/slurm/sbin /hpc/eb/compilerwrappers/compilers
Using device cuda:0
epoch = 1, loss = 0.23194272667169571
epoch = 2, loss = 0.20132205449044704
epoch = 3, loss = 0.1898063249886036
epoch = 4, loss = 0.18334790877997875
epoch = 5, loss = 0.17884819246828557
epoch = 6, loss = 0.17615515626966954
epoch = 7, loss = 0.17403062172234057
epoch = 8, loss = 0.172588325291872
epoch = 9, loss = 0.1707644581794739
epoch = 10, loss = 0.1698888398706913
epoch = 11, loss = 0.16924920491874218
epoch = 12, loss = 0.16872676312923432
epoch = 13, loss = 0.1680268943309784
epoch = 14, loss = 0.16751112341880797
epoch = 15, loss = 0.16653186604380607
epoch = 16, loss = 0.16632651276886462
epoch = 17, loss = 0.16596585102379321
epoch = 18, loss = 0.1655167005956173
epoch = 19, loss = 0.1652702998369932
epoch = 20, loss = 0.16480106189846994
epoch = 21, loss = 0.16540558598935604
epoch = 22, loss = 0.16411341913044453
epoch = 23, loss = 0.16477525569498538
epoch = 24, loss = 0.1638188071548939
epoch = 25, loss = 0.16364813782274723
epoch = 26, loss = 0.1634654089808464
epoch = 27, loss = 0.1634543776512146
epoch = 28, loss = 0.16375549808144568
epoch = 29, loss = 0.16292763091623783
epoch = 30, loss = 0.1630912497639656
epoch = 31, loss = 0.16264754645526408
epoch = 32, loss = 0.16335003040730953
epoch = 33, loss = 0.16263384707272052
epoch = 34, loss = 0.16256103701889515
epoch = 35, loss = 0.16217793188989163
epoch = 36, loss = 0.16210728846490383
epoch = 37, loss = 0.1623589426279068
epoch = 38, loss = 0.16185777001082896
epoch = 39, loss = 0.16188502945005895
epoch = 40, loss = 0.16163014508783818
epoch = 41, loss = 0.16202690005302428
epoch = 42, loss = 0.16193485595285892
epoch = 43, loss = 0.1616893880069256
epoch = 44, loss = 0.16220926083624362
epoch = 45, loss = 0.16171410195529462
epoch = 46, loss = 0.16135285124182702
epoch = 47, loss = 0.1613185577094555
epoch = 48, loss = 0.1613570861518383
epoch = 49, loss = 0.16136631071567537
epoch = 50, loss = 0.161451281234622
epoch = 51, loss = 0.1613103736191988
epoch = 52, loss = 0.16144239977002145
epoch = 53, loss = 0.1610833950340748
epoch = 54, loss = 0.1609791364520788
epoch = 55, loss = 0.16122775748372078
epoch = 56, loss = 0.1606358777731657
epoch = 57, loss = 0.16103719137609004
epoch = 58, loss = 0.16113974750041962
epoch = 59, loss = 0.16076531670987607
epoch = 60, loss = 0.16086793541908265
epoch = 61, loss = 0.16063196174800395
epoch = 62, loss = 0.1609295755624771
epoch = 63, loss = 0.1606821697205305
epoch = 64, loss = 0.16081078872084617
epoch = 65, loss = 0.1605348389595747
epoch = 66, loss = 0.16090141721069812
epoch = 67, loss = 0.1603010840713978
epoch = 68, loss = 0.16069571897387505
epoch = 69, loss = 0.16026391722261907
epoch = 70, loss = 0.16055546663701534
epoch = 71, loss = 0.16055176556110382
epoch = 72, loss = 0.16046663485467433
epoch = 73, loss = 0.16058862246572972
epoch = 74, loss = 0.1612028356641531
epoch = 75, loss = 0.1603319115936756
epoch = 76, loss = 0.1602051042020321
epoch = 77, loss = 0.16068644486367703
epoch = 78, loss = 0.16013737618923188
epoch = 79, loss = 0.16051514483988286
epoch = 80, loss = 0.16009586714208127
Best epoch: 80. Load model for testing.
Test BPD: 0.153133167873455
Done
