WARNING: $PATH does not agree with $PATH_modshare counter. The following directories' usage counters were adjusted to match. Note that this may mean that module unloading may not work correctly.
 /opt/slurm/bin /hpc/eb/compilerwrappers/linkers /sw/arch/Debian10/EB_production/2020/software/Miniconda3/4.7.12.1 /sw/arch/Debian10/EB_production/2020/software/Miniconda3/4.7.12.1/bin /opt/slurm/sbin /hpc/eb/compilerwrappers/compilers
ERROR: Unable to locate a modulefile for 'Miniconda3/4.7.12.1'
/var/spool/slurm/slurmd/job7173831/slurm_script: line 18: activate: No such file or directory
Using device cuda:0
L_rec: 202.6878204345703, L_reg: 5.0201096534729, bpd: 0.3822183609008789
L_rec: 180.87295532226562, L_reg: 9.899300575256348, bpd: 0.3510538339614868
L_rec: 138.9794921875, L_reg: 15.053603172302246, bpd: 0.28344741463661194
L_rec: 131.5825958251953, L_reg: 17.250749588012695, bpd: 0.2738789916038513
L_rec: 114.66592407226562, L_reg: 19.43766212463379, bpd: 0.24677370488643646
L_rec: 106.4502944946289, L_reg: 21.02711296081543, bpd: 0.2345803827047348
L_rec: 101.229248046875, L_reg: 21.152183532714844, bpd: 0.22520288825035095
epoch = 1, loss = 0.23194272667169571
L_rec: 94.60789489746094, L_reg: 24.070756912231445, bpd: 0.21838916838169098
L_rec: 97.20442199707031, L_reg: 22.457059860229492, bpd: 0.22019773721694946
L_rec: 90.82684326171875, L_reg: 24.21591567993164, bpd: 0.2116984874010086
L_rec: 85.76901245117188, L_reg: 23.799484252929688, bpd: 0.20162490010261536
L_rec: 86.92852783203125, L_reg: 24.62393569946289, bpd: 0.2052757441997528
L_rec: 81.86769104003906, L_reg: 25.25143814086914, bpd: 0.1971176415681839
L_rec: 81.57321166992188, L_reg: 26.652742385864258, bpd: 0.19915437698364258
epoch = 2, loss = 0.20132205449044704
L_rec: 83.89004516601562, L_reg: 25.6153621673584, bpd: 0.2015088051557541
L_rec: 76.89283752441406, L_reg: 25.376861572265625, bpd: 0.18819387257099152
L_rec: 76.89328002929688, L_reg: 26.12308692932129, bpd: 0.18956784904003143
L_rec: 76.85692596435547, L_reg: 26.91826629638672, bpd: 0.1909642219543457
L_rec: 74.02194213867188, L_reg: 26.18936538696289, bpd: 0.18440605700016022
L_rec: 73.86746978759766, L_reg: 25.863821029663086, bpd: 0.18352274596691132
L_rec: 68.63427734375, L_reg: 26.490440368652344, bpd: 0.17504587769508362
epoch = 3, loss = 0.1898063249886036
L_rec: 65.2329330444336, L_reg: 27.26885414123535, bpd: 0.17021921277046204
L_rec: 70.16565704345703, L_reg: 27.525278091430664, bpd: 0.1797681450843811
L_rec: 70.68161010742188, L_reg: 27.328746795654297, bpd: 0.18035593628883362
L_rec: 66.60264587402344, L_reg: 26.851667404174805, bpd: 0.17197203636169434
L_rec: 71.42330932617188, L_reg: 27.771812438964844, bpd: 0.18253609538078308
L_rec: 65.78292846679688, L_reg: 27.965986251831055, bpd: 0.1725141555070877
L_rec: 67.9090347290039, L_reg: 27.354751586914062, bpd: 0.17530176043510437
epoch = 4, loss = 0.18334790877997875
L_rec: 65.42330932617188, L_reg: 28.239498138427734, bpd: 0.17235568165779114
L_rec: 66.32037353515625, L_reg: 27.775325775146484, bpd: 0.17315229773521423
L_rec: 66.3774642944336, L_reg: 28.012325286865234, bpd: 0.1736934632062912
L_rec: 65.99281311035156, L_reg: 28.546375274658203, bpd: 0.1739683896303177
L_rec: 64.91697692871094, L_reg: 28.303451538085938, bpd: 0.17154163122177124
L_rec: 69.69636535644531, L_reg: 28.60160255432129, bpd: 0.1808851808309555
L_rec: 65.58004760742188, L_reg: 29.22254180908203, bpd: 0.17445307970046997
epoch = 5, loss = 0.17884819246828557
L_rec: 62.555179595947266, L_reg: 27.905139923095703, bpd: 0.16646257042884827
L_rec: 62.03511047363281, L_reg: 28.357322692871094, bpd: 0.16633763909339905
L_rec: 63.90373992919922, L_reg: 27.715652465820312, bpd: 0.16859546303749084
L_rec: 64.12901306152344, L_reg: 29.024070739746094, bpd: 0.1714177131652832
L_rec: 64.99688720703125, L_reg: 28.3309326171875, bpd: 0.17173925042152405
L_rec: 62.41503143310547, L_reg: 28.729890823364258, bpd: 0.16772234439849854
L_rec: 61.98925018310547, L_reg: 29.164934158325195, bpd: 0.1677393913269043
epoch = 6, loss = 0.17615515626966954
L_rec: 66.55722045898438, L_reg: 28.513347625732422, bpd: 0.17494621872901917
